"gene","FC_RARA","FC_RARG","FC_Combo","category"
"Utp4",0,0,-1.4798841363536,"Combo Unique (n=173)"
"Vps13c",0,0,0.785074611103858,"Combo Unique (n=173)"
"Ggact",0,0.749972247688848,0,"RARG Unique (n=163)"
"Acp1",0,0,-1.0619014959,"Combo Unique (n=173)"
"Ube2h",0,0,-0.968373240206315,"Combo Unique (n=173)"
"Ddx50",0,0,0.676162068235431,"Combo Unique (n=173)"
"Prpf39",0,-0.865541675498492,0,"RARG Unique (n=163)"
"Galnt9",0,0,-0.917914934200662,"Combo Unique (n=173)"
"Naa35",0,1.88280826841051,0,"RARG Unique (n=163)"
"Styx",0,0,1.87471896467102,"Combo Unique (n=173)"
"Abl1",0,1.19312383317906,0,"RARG Unique (n=163)"
"Tm9sf4",0,0,-1.13114338281529,"Combo Unique (n=173)"
"Fam169a",0,-1.27936065715482,0,"RARG Unique (n=163)"
"Spats2l",0,0,0.893868939534895,"Combo Unique (n=173)"
"Nyap2",0,0,0.52650999562561,"Combo Unique (n=173)"
"A930015D03Rik",0,1.1152769165896,0,"RARG Unique (n=163)"
"Rbms1",0,0,0.768189069911403,"Combo Unique (n=173)"
"Pdzd8",0,0,-1.76328676519027,"Combo Unique (n=173)"
"Elavl1",0,0,1.02604558623945,"Combo Unique (n=173)"
"4930473A02Rik",0,-3.73433671072434,0,"RARG Unique (n=163)"
"Rbm4",0,2.37002804962198,0,"RARG Unique (n=163)"
"Bex2",0,-1.57023200751561,0,"RARG Unique (n=163)"
"Zfat",0,-1.04305474357025,0,"RARG Unique (n=163)"
"Sf3b2",0,0,-0.685882828467818,"Combo Unique (n=173)"
"Hnrnpdl",0,0,0.695966819046032,"Combo Unique (n=173)"
"Cpne8",0,-0.711538214888168,0,"RARG Unique (n=163)"
"Huwe1",0,0,0.587314301836053,"Combo Unique (n=173)"
"Wdr48",0,0,2.30077923787315,"Combo Unique (n=173)"
"Gm1715",0,-2.50345307964596,0,"RARG Unique (n=163)"
"Gm44151",0,-1.00276346986643,0,"RARG Unique (n=163)"
"Phf20",0,-1.18305466376495,0,"RARG Unique (n=163)"
"Tmem50a",0,0,-1.6213366634934,"Combo Unique (n=173)"
"Gtpbp4",0,0,1.96101012055208,"Combo Unique (n=173)"
"Rpl6",0,1.79273751193248,0,"RARG Unique (n=163)"
"Rara",0,0,2.3698601646908,"Combo Unique (n=173)"
"Scamp5",0,1.29555189211092,0,"RARG Unique (n=163)"
"Sltm",0,0,0.972128627576447,"Combo Unique (n=173)"
"Slc38a1",0,0.959227583146855,0,"RARG Unique (n=163)"
"Cyth1",0,0,0.779992871887548,"Combo Unique (n=173)"
"Tub",0,-0.781374819864332,0,"RARG Unique (n=163)"
"Dctn6",0,-5.81642989301394,0,"RARG Unique (n=163)"
"Sorbs1",0,0,0.518257123650121,"Combo Unique (n=173)"
"Tmem165",0,2.51279216516276,0,"RARG Unique (n=163)"
"Gabbr1",0,0,-1.01589544357533,"Combo Unique (n=173)"
"Tro",0,1.13670815493279,0,"RARG Unique (n=163)"
"Nucb2",0,0,-1.58083302227997,"Combo Unique (n=173)"
"Ddx6",0,0,0.90047803820325,"Combo Unique (n=173)"
"Rarg",0,0,1.92390073317745,"Combo Unique (n=173)"
"Rnf150",0,-0.809936583668219,0,"RARG Unique (n=163)"
"Mthfd1",0,2.51808972061808,0,"RARG Unique (n=163)"
"Slc24a5",0,-1.1717491634156,0,"RARG Unique (n=163)"
"Sema5a",0,-1.38967305168233,0,"RARG Unique (n=163)"
"Ankhd1",0,-0.72943591226807,0,"RARG Unique (n=163)"
"Adamts18",0,1.93315513021223,0,"RARG Unique (n=163)"
"Hsph1",0,-1.43368455701232,0,"RARG Unique (n=163)"
"Necap2",0,2.11779120811133,0,"RARG Unique (n=163)"
"Tmtc4",0,-3.38953494843181,0,"RARG Unique (n=163)"
"Rptor",0,0.703092281650329,0,"RARG Unique (n=163)"
"Galnt17",0,-0.540538276658357,0,"RARG Unique (n=163)"
"Jakmip2",0,0,-0.502855763972732,"Combo Unique (n=173)"
"Pdzd2",0,0,0.530378737759155,"Combo Unique (n=173)"
"Nudt21",0,0,-1.62765147709313,"Combo Unique (n=173)"
"Lasp1",0,-1.03353302272836,0,"RARG Unique (n=163)"
"Trit1",0,0,1.10879241484925,"Combo Unique (n=173)"
"Nek1",0,0,0.756619283739098,"Combo Unique (n=173)"
"Cdc42ep3",0,-3.94729493865971,0,"RARG Unique (n=163)"
"Trmt1",0,0,1.40590366184642,"Combo Unique (n=173)"
"Psmd13",0,-2.46816989312568,0,"RARG Unique (n=163)"
"Dctn4",0,0.896837516670647,0,"RARG Unique (n=163)"
"Ubxn2a",0,0,-1.47739647524182,"Combo Unique (n=173)"
"Ninl",0,0,-1.3527285080287,"Combo Unique (n=173)"
"Vps41",0,0,-0.64307824579141,"Combo Unique (n=173)"
"1810062O18Rik",0,0,-1.15079407508028,"Combo Unique (n=173)"
"Nus1",0,-1.62664236051107,0,"RARG Unique (n=163)"
"Aimp1",0,2.01179341885309,0,"RARG Unique (n=163)"
"Grina",0,0,-0.970182814919496,"Combo Unique (n=173)"
"Mtmr6",0,-1.37606064612846,0,"RARG Unique (n=163)"
"Pnpt1",0,0,0.985893587710567,"Combo Unique (n=173)"
"Sesn1",0,0,0.915130652845212,"Combo Unique (n=173)"
"Ndufaf7",0,1.44853551557239,0,"RARG Unique (n=163)"
"Blmh",0,1.69895212628368,0,"RARG Unique (n=163)"
"Usp48",0,0,0.6958185179257,"Combo Unique (n=173)"
"Polr3g",0,0,-1.33373790969114,"Combo Unique (n=173)"
"Efnb2",0,1.71941369782179,0,"RARG Unique (n=163)"
"Htr2a",0,0,-1.3624946812349,"Combo Unique (n=173)"
"Sh3bgrl2",0,0,1.75309010479149,"Combo Unique (n=173)"
"Ndufaf2",0,1.59052721906081,0,"RARG Unique (n=163)"
"Ddb2",0,0,1.79921312903748,"Combo Unique (n=173)"
"Sufu",0,1.91982329876315,0,"RARG Unique (n=163)"
"Dnm2",0,0,1.01235666846835,"Combo Unique (n=173)"
"Dhx29",0,-1.36304330718008,0,"RARG Unique (n=163)"
"Stmn4",0,0,1.17573917761092,"Combo Unique (n=173)"
"Polr3f",0,0,-1.88117592654181,"Combo Unique (n=173)"
"Csnk1g1",0,0,0.66721134884894,"Combo Unique (n=173)"
"Maoa",0,0,-2.93950461902995,"Combo Unique (n=173)"
"Gnl3l",0,-1.32899032202305,0,"RARG Unique (n=163)"
"Fam120a",0,-0.783664584083156,0,"RARG Unique (n=163)"
"Hdgfl2",0,0,-1.50060755024716,"Combo Unique (n=173)"
"Camkk1",0,2.1136064444783,0,"RARG Unique (n=163)"
"Tjap1",0,-1.55725606371653,0,"RARG Unique (n=163)"
"Zdhhc13",0,0,2.57622733075545,"Combo Unique (n=173)"
"Coro2b",0,1.19331497461467,0,"RARG Unique (n=163)"
"Snap47",0,0,-0.942484378159911,"Combo Unique (n=173)"
"Ddhd1",0,0,0.78430565045188,"Combo Unique (n=173)"
"Rpl27a",0,1.70492284016033,0,"RARG Unique (n=163)"
"Ttc39b",0,0.881351707745466,0,"RARG Unique (n=163)"
"Ptk2b",0,0.677020641560816,0,"RARG Unique (n=163)"
"Crppa",0,-1.21349073633655,0,"RARG Unique (n=163)"
"Fam228b",0,-1.17467552491518,0,"RARG Unique (n=163)"
"Aff4",0,0,0.762027757875124,"Combo Unique (n=173)"
"Gm10419",0,0,0.790849616446897,"Combo Unique (n=173)"
"Lars",0,0,1.12331900131708,"Combo Unique (n=173)"
"Frmd3",0,-0.961064669003372,0,"RARG Unique (n=163)"
"Rprd2",0,0,0.978193243056863,"Combo Unique (n=173)"
"Xpo1",0,-1.29572996805847,0,"RARG Unique (n=163)"
"Zbtb26",0,0,-2.70833084989748,"Combo Unique (n=173)"
"1110008P14Rik",0,0.983809808975588,0,"RARG Unique (n=163)"
"Parn",0,0,-1.26582266676744,"Combo Unique (n=173)"
"Cxadr",0,0,1.09704457380211,"Combo Unique (n=173)"
"Bcl7a",0,0,-1.72666762534801,"Combo Unique (n=173)"
"Ube2i",0,-2.56504847697316,0,"RARG Unique (n=163)"
"Prdx6",0,-2.54094816876161,0,"RARG Unique (n=163)"
"Nudcd3",0,0,0.545255636006944,"Combo Unique (n=173)"
"Clcn3",0,0.798031799622154,0,"RARG Unique (n=163)"
