"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.614957615313975,0.0202713287865819,0.372,0.333,1,"Cdkl5"
0.61511777700303,-0.174627351438565,0.092,0.111,1,"Man2a2"
0.615452309617545,0.10842123115255,0.156,0.133,1,"Faxc"
0.61545264368038,0.14038532826709,0.524,0.489,1,"Cpeb3"
0.615738809508198,0.114657617537767,0.272,0.244,1,"Ube2g1"
0.615985636067817,0.244884287995198,0.108,0.089,1,"Arhgap18"
0.616295119422961,-0.116298462403966,0.06,0.044,1,"Cntnap1"
0.616315907494251,-0.0835050932814805,0.904,0.911,1,"Etl4"
0.616501287492491,0.161024918257728,0.232,0.211,1,"Nxpe4"
0.61682971455975,0.184727470629116,0.26,0.233,1,"Wnk1"
0.616830938008289,-0.258365532313934,0.104,0.078,1,"Zfp182"
0.616887731910085,-0.242854392609448,0.388,0.4,1,"Zfr"
0.616976806007837,0.178818620595369,0.084,0.067,1,"Ankrd45"
0.617004888500656,-0.139367431325507,0.14,0.111,1,"Fam78b"
0.617156662005287,0.0461227714415161,0.296,0.256,1,"Rab11fip3"
0.617400870176331,-0.217473073379318,0.052,0.067,1,"Zfp438"
0.617420862561173,-0.575349754808886,0.084,0.1,1,"Rrnad1"
0.617803170254509,0.139541380658535,0.22,0.189,1,"Sgsm1"
0.618096837245699,0.346881945158777,0.14,0.122,1,"Lrrn2"
0.618099645240718,-0.291975813849194,0.104,0.122,1,"Cc2d2a"
0.618316437695784,-0.519440265497577,0.084,0.1,1,"Tle1"
0.618507828046277,-0.0581938993139088,0.06,0.044,1,"Letm1"
0.618857311026384,-0.249628045101052,0.124,0.144,1,"Crtc1"
0.619052384344134,-0.0497000062678625,0.208,0.244,1,"Gripap1"
0.619969613631501,0.00522433775683862,0.964,0.922,1,"Kcnd2"
0.620108956422265,-0.38271770320511,0.084,0.1,1,"Zswim8"
0.620218094639153,0.0400401386967073,0.072,0.056,1,"Rad52"
0.620587361034499,0.190773214612628,0.144,0.122,1,"Ppp2r5a"
0.620724001118781,-0.103573228940868,0.06,0.044,1,"Polr2a"
0.620737953194705,0.144866453303091,0.084,0.067,1,"Mettl15"
0.621137775269372,-0.138648865634005,0.724,0.722,1,"A230057D06Rik"
0.621153466013824,-0.0201662928451094,0.196,0.167,1,"Lpin2"
0.621161835421628,-0.863346788816222,0.044,0.056,1,"Brk1"
0.62123123285859,-0.322287653226777,0.196,0.211,1,"4930447C04Rik"
0.621306356325436,0.0535210894847351,0.976,0.944,1,"Camk1d"
0.621903956030038,-0.364848545344046,0.084,0.1,1,"Chmp4b"
0.62205937138961,0.26465806109412,0.144,0.122,1,"Tspan13"
0.622065743016045,-0.14500605162133,0.268,0.289,1,"Ppme1"
0.622210712171669,0.724990940881969,0.068,0.056,1,"Wars2"
0.622595502265138,-0.155509040520136,0.736,0.7,1,"Rbfox3"
0.622866377194971,-0.0900955204591459,0.244,0.267,1,"Dyrk1a"
0.62290804145999,0.221004203071147,0.264,0.233,1,"Atp11b"
0.623356348994829,0.470873328497549,0.172,0.156,1,"Sez6l2"
0.623532894887327,0.347448431263045,0.144,0.122,1,"Sumo1"
0.62357067585199,-0.808964903385141,0.044,0.056,1,"Rpl13a"
0.62357067585199,-0.898689036516115,0.044,0.056,1,"Map1lc3b"
0.62357067585199,-0.728072057199606,0.044,0.056,1,"Rpl10a"
0.623920410511261,-0.0997932748418857,0.572,0.611,1,"Plekha5"
0.623973721391433,0.200854371820109,0.156,0.133,1,"Stx3"
0.624278215148035,-0.572008551723975,0.064,0.078,1,"Rundc3a"
0.624398263240133,0.210411403269583,0.096,0.078,1,"Anapc1"
0.624398263240133,0.15104580613642,0.096,0.078,1,"Uba6"
0.624693801056189,-0.0743114034198351,0.08,0.1,1,"Mark4"
0.624970321888516,-0.192696020823566,0.1,0.078,1,"Ltn1"
0.625173237864574,-0.148683296935073,0.212,0.233,1,"Hira"
0.62524548845308,-0.299424289268495,0.172,0.189,1,"Rab10"
0.625500480338202,-0.428551004570995,0.084,0.1,1,"Pi4kb"
0.625745860152751,0.229875857833303,0.144,0.122,1,"Ttc39b"
0.625745933404653,0.152851696305548,0.144,0.122,1,"Gnptab"
0.625983549118695,-0.728156863847866,0.044,0.056,1,"Tll1"
0.626171907126486,0.202652258303622,0.096,0.078,1,"Ppp6c"
0.626312781915626,-0.0416709077321828,0.072,0.056,1,"Fam57a"
0.626312781915626,-0.546306165326556,0.064,0.078,1,"Itga8"
0.626581878976921,-0.212786018226959,0.28,0.3,1,"Pkia"
0.626616625911715,-0.0182801124175694,0.24,0.2,1,"Arntl"
0.627083718328082,0.00145555234007243,0.22,0.189,1,"Dennd1b"
0.627393141716313,-0.195293503550087,0.06,0.044,1,"Bin3"
0.627689131595179,-0.145828401963432,0.448,0.444,1,"Dgkh"
0.627806007873232,0.0124386925706312,0.12,0.1,1,"Rps14"
0.627892683947509,-0.123916009949884,0.232,0.256,1,"Ptpn9"
0.628080969963054,-0.16438964896769,0.3,0.311,1,"Kctd1"
0.628289990359667,-0.603674857786813,0.076,0.089,1,"Edc3"
0.62831401102714,-0.208191521759023,0.2,0.222,1,"0610010F05Rik"
0.628350056799442,0.0375237566334066,0.072,0.056,1,"Nsun6"
0.628350056799442,-0.51117844386467,0.064,0.078,1,"Gm15952"
0.628601716393528,0.0730026494961515,0.44,0.4,1,"Atp9b"
0.628836817237604,-0.377083236683027,0.196,0.211,1,"Map4k5"
0.628996343590168,0.0902243374348435,0.456,0.4,1,"Prpf4b"
0.629214637136257,-0.148262561857072,0.164,0.189,1,"Gpr45"
0.629235614619935,-0.217401106598741,0.124,0.1,1,"Ap4s1"
0.629694077960442,0.0636484385739446,0.448,0.389,1,"Srgap2"
0.630170629285955,-0.0601393846599159,0.988,0.967,1,"Grm7"
0.630184136549578,-0.0972574066287433,0.084,0.067,1,"Ric3"
0.630390166550273,-0.19549775916664,0.072,0.056,1,"Arpc3"
0.630390166550273,0.143612096753731,0.072,0.056,1,"Cdv3"
0.631002554907932,-0.196687321532805,0.124,0.144,1,"Lin52"
0.631143662141084,-0.490687152102946,0.108,0.122,1,"Ctsb"
0.632433098253641,-0.00353717665363362,0.072,0.056,1,"Rbm24"
0.632433098253641,-0.488932674275355,0.064,0.078,1,"Zfp64"
0.632433098253641,-0.553923549553595,0.064,0.078,1,"Gnaz"
0.632433098253641,-0.486812144437252,0.064,0.078,1,"Zfp948"
0.632511702312984,0.0786034280358896,0.532,0.511,1,"Galnt18"
0.632545673109012,-0.127218169658361,0.144,0.167,1,"Hnrnpd"
0.632568344064684,-0.0739773493607316,0.152,0.122,1,"Nuak1"
0.632768381315868,0.205237025198645,0.108,0.089,1,"Clip4"
0.632846376514158,-0.244393387336757,0.104,0.122,1,"Alk"
0.632928891631068,-0.251347203371434,0.116,0.133,1,"Arl6ip1"
0.633009761375518,-0.0655627487387518,0.232,0.267,1,"Tfdp2"
0.633105751445193,-0.207472998266502,0.324,0.344,1,"Lhfpl3"
0.63324615205074,-0.50533812544616,0.044,0.056,1,"Sike1"
0.63324615205074,-0.843741686084479,0.044,0.056,1,"Eef2"
0.63324615205074,-0.68949123784406,0.044,0.056,1,"Pdhb"
0.63324615205074,-0.744347491747255,0.044,0.056,1,"Tubb5"
0.63324615205074,-0.556456492795215,0.044,0.056,1,"Cul4b"
0.633833187468227,-0.128729751750734,0.368,0.378,1,"Zdhhc14"
0.634026488851646,-0.336325385963313,0.14,0.156,1,"Vav3"
